,dct:identifier,dct:title,dct:provenance,dct:date,dct:rights,dct:format,dct:type,dct:identifier,dct:spatial,dct:subject,dct:description,dct:publisher,dct:creator,dct:source,dct:isPartof,schema:copyrightNotice,schema:license,schema:creator,schema:publisher,schema:identifier
68,15729,"The Two Sisters standing stones, Drift",Margaret Orchard,1977,Morrab Library,35mm Slide,Photograph,ORCH.SL.0069,Drift,Architecture,Located off the A30 near Drift,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
69,15730,"Giant's Rock, Zennor",Margaret Orchard,1975-01,Morrab Library,35mm Slide,Photograph,ORCH.SL.0070,Zennor,Architecture,Local landmark located north of the village,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
70,15731,Bosprennis Hut,Margaret Orchard,1975,Morrab Library,35mm Slide,Photograph,ORCH.SL.0071,Zennor,Architecture,Romano-British construction located near Zennor,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
71,15736,"Kist Vean, Bodrifty",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0072,Zennor Parish,Architecture,"Location top of New Mill, Zennor Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
73,15738,''The Pipers'' Standing stones,Margaret Orchard,1977-06,Morrab Library,35mm Slide,Photograph,ORCH.SL.0074,"Boleigh Hill, St Buryan Parish",Architecture,"Location near Boleigh Farm, St Buryan Parish. The image is of Piper 1, see map",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
74,15739,"""The Pipers"" Standing Stone",Margaret Orchard,1977-06,Morrab Library,35mm Slide,Photograph,ORCH.SL.0075,"Boleigh Hill Farm, St Buryan Parish",Architecture,"Standing stone, located near Boleigh Hill Farm, St Buryan Parish. The image is of Standing Stone II, see map",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
75,15740,"Holed stone, Boleigh, St Buryan Parish",Margaret Orchard,1971-04,Morrab Library,35mm Slide,Photograph,ORCH.SL.0076,"Boleigh, St Buryan Parish",Architecture,"Used as a gate post, Boleigh, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
76,15741,"Tregriffian Barrow, Boleigh, St Buryan Parish",Margaret Orchard,1977-06,Morrab Library,35mm Slide,Photograph,ORCH.SL.0077,"Boleigh, St Buryan Parish",Architecture,Located by the side of the B3315 near the Merry Maidens Stone circle,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
77,15742,"Boleigh Fogou, St Buryan Parish",Margaret Orchard,1980-05,Morrab Library,35mm Slide,Photograph,ORCH.SL.0078,"Boleigh, St Buryan Parish",Architecture,Ancient stone structure,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
78,15743,Boleigh Cross,Margaret Orchard,1979,Morrab Library,35mm Slide,Photograph,ORCH.SL.0079,"Boleigh, St Buryan Parish",Architecture,"Ancient Celtic Cross, located by the side of the B3315, known as Nun Careg a wayside slab cross",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
79,15744,"Sanctuary, St Buryan",Margaret Orchard,1977-06,Morrab Library,35mm Slide,Photograph,OORH.SL.0080,St Buryan,Architecture,Site of a Holy Well,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
80,15745,The Sanctuary (2) St Buryan,Margaret Orchard,1976-02,Morrab Library,35mm Slide,Photograph,ORCH.SL.0081,St Buryan,Architecture,Site of Sanctuary,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
81,15754,"Carved stone, Boskenna",Margaret Orchard,1977-07,Morrab Library,35mm Slide,Photograph,ORCH.SL.0082,"Boskenna, St Buryan Parish",Architecture,"Carved stone set in a wall, located a Boskennal, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
82,15755,Carn Euny Fogou 1,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0083,Carn Euny settlement,Architecture,"Ancient stone construction, located at Carn Euny settlement, near Brane, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
83,15756,Carn Euny Fogou 2,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0084,Carn Euny settlement,Architecture,"Ancient stone construction, located at Carn Euny settlement, near Brane, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
84,15757,Carn Euny Settlement 3,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0085,Carn Euny settlement,Architecture,"Ancient stone construction, located at Carn Euny settlement, near Brane, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
85,15758,"Tregiffian Barrow, Boleigh, St Buryan Parish 2",Margaret Orchard,1970-06,Morrab Library,35mm Slide,Photograph,ORCH.SL.0086,"Boleigh, St Bryan Parish",Architecture,Located by the side of the B3315 near the Merry Maidens Stone circle,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
86,15759,Boskenna Cross,Margaret Orchard,1977,Morrab Library,35mm Slide,Photograph,ORCH.SL.0087,Boskenna,Architecture,"Wayside cross, located near Boskenna along the side of the B3315",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
87,15760,Merry Maidens stone circle,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0088,Boleigh,Architecture,"Stone circle, located near Boleigh",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
88,15761,Chapel Carn Brae,Margaret Orchard,1972,Morrab Library,35mm Slide,Photograph,ORCH.SL.0089,Chapel Carn Brea,Architecture,"Commemorative plaque, top of Chapel Carn Brae",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
89,15765,"Burial chamber stonework, Chapel Carn Brae",Margaret Orchard,Jul-70,Morrab Library,35mm Slide,Photograph,ORCH.SL.0090,Chapel Carn Brae,Architecture,"Burial chamber stonework, Chapel Carn Brae",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
90,15766,Crick stone Men-an-Tol,Margaret Orchard,Aug-69,Morrab Library,35mm Slide,Photograph,ORCH.SL.0091,"Bosullow, Morvah Parish",Architecture,"Location Bosullow, Morvah Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
91,15767,"Wall carving, Tregonebris",Margaret Orchard,Sep-77,Morrab Library,35mm Slide,Photograph,ORCH.SL.0092,"Tregonebris, St Buryan Parish",Architecture,"Location, Tregonebris, Land's End road, St Buryan Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
92,15768,"Crick stone, Men-an-Tol",Margaret Orchard,May-76,Morrab Library,35mm Slide,Photograph,ORCH.SL.0093,"Men-An-Tol, Morvah Parish",Architecture,"Men-an-Tol, featuring a member of the Ladock Old Cornwall Society",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
93,15769,"Standing stone, Boswen, Newbridge",Margaret Orchard,Oct-69,Morrab Library,35mm Slide,Photograph,ORCH.SL.0094,"Tregerest, Newbridge",Architecture,"Location Tregerest, Newbridge",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
94,15807,"Pack stone, St Levan",Margaret Orchard,1969,Morrab Library,35mm Slide,Photograph,ORCH.SL.0095,"St Levan, Porthcurno",Architecture,"Location St Levan churchyard, near Porthcurno",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
95,15808,Chûn Castle,Margaret Orchard,1987,Morrab Library,35mm Slide,Photograph,ORCH.SL.0096,St Just,Architecture,"Plan of Chûn Castle, ancient hill fort, the site located near St Just",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
96,15809,Mulfra Quoit,Margaret Orchard,1969-08,Morrab Library,35mm Slide,Photograph,ORCH.SL.0097,Mulfra,Architecture,"Ancient burial mound stonework, located New Mill",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
98,15811,Boscawen-ûn stone circle,Margaret Orchard,1875-1885,Morrab Library,35mm Slide,Photograph,ORCH.SL.0099,Boscawen,Architecture,"Location near St Buryan just off the left hand side of the A30 near Crows-an-wra, from an early photograph of circa 1880",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
99,15818,Celtic Wayside Cross,Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0100,"Boskenna turn, near St Buryan",Architecture,"Located by the side of the B3315 at the Boskenna turn, near St Buryan",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
100,15819,Tregiffian Barrow,Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0101,"Tregiffian, near St Buryan",Architecture,Ancient burial chamber located by side of the B3315 near St Buryan,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
101,15820,Tregiffian Barrow,Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0102,"Tregiffian Barrow, near St Buryan",Architecture,Ancient burial chamber located by side of the B3315 near St Buryan,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
102,15821,"Celtic cross, St Michael's Mount",Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0103,St Michael's Mount,Architecture,9th century,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
103,15822,Carn Euny Fogou,Margaret Orchard,1965-1975,Morrab Library,35mm Slide,Photograph,ORCH.SL.0104,Sancreed,Architecture,"Ancient stone chamber, located near Sancreed",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
104,15823,Carn Euny Fogou,Margaret Orchard,1965-1975,Morrab Library,35mm Slide,Photograph,ORCH.SL.0105,Sancreed,Architecture,"Ancient stone chamber, located near Sancreed",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
105,15826,Standing stones Tredavoe,Margaret Orchard,Sep-81,Morrab Library,35mm Slide,Photograph,ORCH.SL.0106,Tredavoe,Architecture,Neolithic era,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
106,15827,"Clapper bridge, Madron bottoms",Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0107,Madron,Architecture,Old stone bridge,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
108,15829,"Gold bracelets, Rosemorran farm",Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0109,Rosemorran,"Ancient gold torque bracelets found at Rosemorran Farm, located near Gulval",Architecture,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
109,15830,Crucible and leather patten,Margaret Orchard,Apr-74,Morrab Library,35mm Slide,Photograph,ORCH.SL.0110,Tredavoe,Architecture,Found at Tredavoe,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
110,15831,Lanyon Quoit,Margaret Orchard,,Morrab Library,35mm Slide,Photograph,ORCH.SL.0111,Lanyon,Architecture,Lanyon Cromlech (known locally as Lanyon Quoit) with Greenburroughs Mine engine house in the background,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
111,15838,"West Lanyon, fallen Cromlech",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0112,Madron,Architecture,"Ancient stones, located near Madron",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
113,15840,Maen Scryfa,Margaret Orchard,May-76,Morrab Library,35mm Slide,Photograph,ORCH.SL.0114,Carn Galva,Architecture,"Ancient standing stone with inscription, located near Carn Galva. Also known as Mên Scryfa or Men Scryfa.",,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
114,15841,The Beehive Hut,Margaret Orchard,c.1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0115,Zennor Parish,Architecture,"Bosprennis settlement, located in Zennor Parish",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
115,15851,Carn Euny Fougou,Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.O116,Sancreed,Architecture,Ancient stone chamber at the settlement located near Sancreed,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
116,15852,Chysauster Village,Margaret Orchard,May-70,Morrab Library,35mm Slide,Photograph,ORCH.SL.0117,Chysauster Village,Architecture,,Morrab Library,Possible Quern,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
117,15853,Noongallos bridge,Margaret Orchard,Jul-74,Morrab Library,35mm Slide,Photograph,,Trevaylor Woods,Bridge,Located at the top of Trevaylor Woods,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
118,15872,"Old Man of Gugh, Isles of Scilly",Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0119,Isles of Scilly,Architecture,"Ancient standing stone, located on St. Agnes",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
122,15876,Hayle milestone,Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0123,Hayle,Architecture,"Late 18th century milestone, located at Pen Pol, Hayle",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
123,15877,"Old clapper bridge, Penberth stream",Margaret Orchard,Jun-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0124,Penberth,Architecture,"Old clapper bridge, located at Penberth Cove",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
124,15883,Carn Euny settlement,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0125,Carn Euny settlement,Architecture,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
125,15884,"Carn Euny, entrance to Fogou",Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0126,Carn Euny settlement,Architecture,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
126,15885,Carn Euny inside the Fogou,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0127,Carn Euny settlement,Architecture,View from the interior,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
127,15886,Carn Euny interior of Fogou,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0128,Carn Euny settlement,Architecture,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
128,15887,"Carn Euny Fogou, interior view",Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0129,Carn Euny settlement,Architecture,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
129,15888,Lanyon Quoit,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0130,Lanyon Quoit,Architecture,Overview with Green Burrough engine house in the background,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
131,15890,The Merry Maidens,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0132,"The Merry Maidens, St Buryan Parish",Architecture,Overview with horse,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
132,15891,The Merry Maidens,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0133,"The Merry Maidens, St Buryan parish",Architecture,"Dons Maen stone, close up",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
133,15902,Noongallas Bridge,Margaret Orchard,1974,Morrab Library,35mm Slide,,ORCH.SL.0134,Trevaylor,Bridges,"Situated at the top of Trevaylor, near Gulval",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
134,15903,Marazion marsh bridge,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0135,Marazion,Bridges,The bridge is built over the Red river,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
135,15904,"Old Clapper footbridge, Penberth Cove",Margaret Orchard,1984,Morrab Library,35mm Slide,Photograph,ORCH.SL.0136,Penberth,Bridges,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
136,15905,Porthgwarra bridge No.1,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0137,Porthgwarra,Bridges,Re-built by Cyril Orchard and friends,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
137,15906,Porthgwarra bridge No.2,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0138,Porthgwarra,Bridges,Re-built by Cyril Orchard and friends,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
138,15907,Porthgwarra bridge No.3,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0139,Porthgwarra,Bridges,Re-built by Cyril Orchard and friends,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
139,15908,"Chyandour road bridge, Penzance",Margaret Orchard,1973,Morrab Library,35mm Slide,Photograph,ORCH.SL.0140,Penzance,Bridges,"Known locally as ""Three Tunnels""",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
140,15909,Treneere Manor bridge,Margaret Orchard,1973,Morrab Library,35mm Slide,Photograph,ORCH.SL.0141,Heamoor,Bridges,"Situated at Witches Lane, Heamoor",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
141,15910,Kenijack Valley bridge,Margaret Orchard,1977,Morrab Library,35mm Slide,Photograph,ORCH.SL.0142,Kenijack Valley,Bridges,Situated near St Just,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
142,15911,Buryas Bridge,Margaret Orchard,1975,Morrab Library,35mm Slide,Photograph,ORCH.SL.0143,Buryas Bridge,Bridges,Located on the A30 near Penzance,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
143,15914,"Ponsandane Railway Bridge, Penzance",Margaret Orchard,c. 1900,Morrab Library,35mm Slide,Photograph,ORCH.SL.0144,Penzance,Bridges,"Ponsandane Railway Bridge tressel, over Trevaylor stream featuring a steam crane",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
144,15915,Porthgwarra Bridge section,Margaret Orchard,c. 1975,Morrab Library,,,ORCH.SL.0145,Porthgwarra,Bridges,"Inscription reads CBO and friends, who participated in the re build",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
145,15916,"Ross Bridge harbour road, Penzance",Margaret Orchard,1981,Morrab Library,35mm Slide,Photograph,ORCH.SL.0146,Penzance,Bridges,Plaque to commemorate the opening after the re build,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
146,15917,"Ponsandane Bridge, Penzance",Margaret Orchard,c. 1900,Morrab Library,35mm Slide,Photograph,ORCH.SL.0147,Penzance,Bridges,Looking North,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
147,15918,"Blue Bridge, Gulval",Margaret Orchard,c. 1900,Morrab Library,35mm Slide,Photograph,ORCH.SL.0148,Gulval,Bridges,"Located west of Gulval, there is a commemorative stone post near the bridge",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
148,15919,"Old Clapper bridge, Penberth Cove",Margaret Orchard,1984,Morrab Library,35mm Slide,Photograph,ORCH.SL.0149,Penberth Cove,Bridges,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
149,15920,"Old footbridge, Penberth",Margaret Orchard,1984,Morrab Library,35mm Slide,Photograph,ORCH.SL.0150,Penberth,Bridges,"Bridge number 2, further up stream",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
150,15921,"Carn Brae Castle, Redruth",Margaret Orchard,2002,Morrab Library,35mm Slide,Photograph,ORCH.SL.0151,Carn Brae,Buildings,Located near Redruth,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
151,15922,Towednack Church,Margaret Orchard,1996,Morrab Library,35mm Slide,Photograph,ORCH.SL.0152,Towednack,Buildings,Located near Nancledra,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
153,15949,"St John's Church, Penzance",Margaret Orchard,c. 1900-1910,Morrab Library,35mm Slide,Photograph,ORCH.SL.0154,Penzance,Buildings,"View over the lower part of Penzance, before Penare Road was built",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
154,15950,"St Paul's Church, Penzance",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0155,Penzance,Buildings,"From an imaginary sketch of St Paul's Church, Clarence Street as it might have been",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
155,15951,"St John's Church, Penzance",Cyril Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0156,Penzance,Buildings,View down the aisle of St John's Church showing the altar and stained glass windows,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
156,15952,"St John's Church, Penzance",Margaret Orchard,1989,Morrab Library,35mm Slide,Photograph,ORCH.SL.0157,Penzance,Buildings,Side window with Mr Jupe 25 year Commemoration?,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
157,15953,"St John's Church, Penzance",Margaret Orchard,c. 1882,Morrab Library,35mm Slide,Photograph,ORCH.SL.0158,Penzance,Buildings,View from Trewartha Terrace,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
158,15954,St John's Penzance (same as ORCH.SL.0158),Margaret Orchard,c. 1882,Morrab Library,35mm Slide,Photograph,ORCH.SL.0159,Penzance,Buildings,As ORCH.SL.0158,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
159,15955,St Levan Church,Margaret Orchard,1987,Morrab Library,35mm Slide,Photograph,ORCH.SL.0160,St Levan,Buildings,From an engraving 1832,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
160,15956,Tredavoe Chapel,Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0161,Tredavoe,Buildings,Front elevation,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
161,15957,"St Mary's Church, Penzance",Margaret Orchard,1985,Morrab Library,35mm Slide,Photograph,ORCH.SL.0162,Penzance,Buildings,"Fire damage 1985, situated In Chapel Street, Penzance",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
162,15958,"St Mary's Church, Penzance",Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0163,Penzance,Buildings,View from the Promenade,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
163,15959,"St Andrew's Church, Newlyn",Margaret Orchard,1987,Morrab Library,35mm Slide,Photograph,ORCH.SL.0164,Newlyn,Buildings,"Located Fore Street, Newlyn Town, now a private dwelling. Penlee Quarry transport weigh bridge is featured in the lower left foreground",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
