Level,Location,SHC Ref No,System Ref No,Title,Date,Quantity,Column8,Column21,Column22,Column23,Column24,Column26,Column27,Column29
Item,"Surrey History Centre, Woking",8203/1,8203/1/1/1/1,"Survey report on the garden of The Garden Cottage (Crooksbury House), Tilford, 1889-2006, compiled by the Farnham DFAS Group of Garden Recorders for the Surrey Gardens Trust.  Includes appendices A-I [appendix H, which included transcripts and CD audio recordings of the oral history interviews carried out as part of the project, was permanently withdrawn in Mar 2011]",2002-2006,,,,Open,,,,,
Collection,"Surrey History Centre, Woking",8216,8216,LINGFIELD ORAL HISTORY PROJECT: TRANSCRIPTS,1980-2009,,,Open,,,There are no access restrictions.,Presented by Mrs S Quelch of Lingfield in October 2007 and February 2010.,"This deposit comprises transcripts of tape recordings of interviews chiefly made by members of the RH7 history group, with a DVD copy of the recordings.",
Item,"Surrey History Centre, Woking",8216/1,8216/1/1/1/1,Transcript of oral history interview with Robert Blackford of Lingfield,27 Jan 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/2,8216/1/1/1/2,Transcript of oral history interview with Margaret Thirlwell of Lingfield,12 Feb 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/3,8216/1/1/1/3,Transcript of oral history interview with Violet Kinnibrugh of Dormansland,12 Feb 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/4,8216/1/1/1/4,Transcript of oral history interview with George Turnbull of Dormansland,15 Feb 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/5,8216/1/1/1/5,Transcript of oral history interview with Frank Rose of East Grinstead,23 Mar 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/6,8216/1/1/1/6,Transcript of oral history interview with Margaret Whiting of Lingfield,12 Apr 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/7,8216/1/1/1/7,Transcript of oral history interview with Eric Ellis of Lingfield,4 Jul 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/8,8216/1/1/1/8,Transcript of oral history interview with Beryl Brown of East Grinstead,2 Sep 2002,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/10,8216/1/1/1/10,"Transcript of oral history interview with Sir Thomas Hetherington of Lingfield, Director of Public Prosecutions, 1977-1987",11 Feb 2003,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/11,8216/1/1/1/11,Transcript of oral history interview with Pat Dobson of Lingfield,25 Nov 2004,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/12,8216/1/1/1/12,Transcript of oral history interview with David Gorringe of Lingfield,1980,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/13,8216/1/1/1/13,Transcript of oral history interview with Robert Philpott of Dormansland,4 Apr 2007,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/14,8216/1/1/1/14,Transcript of oral history interview with Betty Sargent of Lingfield,20 Jul 2007,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/15,8216/1/1/1/15,Transcript of oral history interview with Sally Hooker of Lingfield,21 Aug 2009,,,,,,,,,
Item,"Surrey History Centre, Woking",8216/16,8216/1/1/1/16,Biographical notes relating to the oral history interviewees,2007-2009,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8216/17,8216/1/1/1/17,"DVD of the tape recordings of 'Lingfield Voices', the Lingfield Oral History Project",2009,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8320/2/4,8320/2/1/1/4,"Tape recording of Arthur Wrigley, talking about Mr Bill Leeson, Sorbo Rubber Company, Woking, and the range of products made by the company, recorded 17 April 1990.  Interview conducted by Professor Christopher Wrigley, Arthur Wrigley's son",17 Apr 1990,,,,,Open,,,,
Collection,"Surrey History Centre, Woking",8368,8368,GYPSY ROMA TRAVELLER HISTORY MONTH: RECORDED INTERVIEWS,2008,,"All interviews were conducted by Rib Davis of the Lightbox, Woking, at Bourne Hall Museum, Ewell. The interviews cover the personal upbringing of the individuals concerned, the practical impact of their culture on their everyday lives, and then go on to explore how gypsy/traveller culture has changed with the continuing influence of integration.",Open,,,There are no access restrictions.,"Deposited by Rib Davis, Oral History Officer of the Lightbox, Woking, in June 2008.  Transcripts of the interviews were added to this collection in December 2019.","The first Gypsy Roma Traveller History month was held in June 2008. The nationwide project was directed towards schools, libraries, museums and cinemas with the aim of educating a wider audience about traveller history and culture. The initiative started in 2003 in the London Borough of Brent and spread across the country following public support and funding from the Department of Children, Schools and Families. As part of the activities and to support its own oral history project, Woking Lightbox recorded a series of interviews with Surrey travellers at Bourne Hall Museum, Ewell, in June 2008.\r\n\r\nGypsy Roma Traveller History Month was part of a wider initiative, based at Surrey History Centre headed 'Roads to Your Past'. Funded jointly between the European Union and South East Museum Library and Archive Council, the initiative aimed to encourage greater access to local heritage centres by traveller communities and promote a wider appreciation of gypsy/Romany culture. The relevance of the project is probably best summarized by Len Smith, traveller, who says 'Museums, libraries and archives could be powerful places for us if we can make them accessible. You bring two people in, and they tell four people and the four people tell another four people and it can start giving gypsies and travellers a bit more pride - we have a private pride in our culture – we need a public pride; we need a public face to our pride' (from Private Past, Public Future: see related records below).","A report entitled 'Private Past, Public Future', can be viewed on the Surrey History Centre website.  The report, compiled by Jake Bowers, assesses how traveller communities perceive the preservation of their culture by local heritage centres."
Item,"Surrey History Centre, Woking",8368/1,8368/1/1/1/1,"Recorded interview on compact disc with Ann Wilson of Leatherhead, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/2,8368/1/1/1/2,"Recorded interview on compact disc with Hilda Brazil of Effingham, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/3,8368/1/1/1/3,"Recorded interview on compact disc with Louisa Castle of West Ewell, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/4,8368/1/1/1/4,"Recorded interview on compact disc with Esther Carey of Claygate, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/5,8368/1/1/1/5,"Recorded interview on compact disc with Kerry Ann Carey of Claygate, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/6,8368/1/1/1/6,"Recorded interview on compact disc with John Carey of Chessington, made as part of Gypsy Roma Traveller History Month",Jun 2008,,,,,,Open,,,
Item,"Surrey History Centre, Woking",8368/7,8368/1/1/1/7,Transcript of oral history interview with Ann Wilson (audio recording -/1 above) ,Jun 2008,,,,,,,,,
Item,"Surrey History Centre, Woking",8368/8,8368/1/1/1/8,Transcript of oral history interview with Hilda Brazil (audio recording -/2),Jun 2008,,,,,,,,,
Item,"Surrey History Centre, Woking",8368/9,8368/1/1/1/9,Transcript of oral history interview with Louisa Castle (audio recording -/3),Jun 2008,,,,,,,,,
Item,"Surrey History Centre, Woking",8368/10,8368/1/1/1/10,Transcript of oral history interview with Esther Carey (audio recording -/4),Jun 2008,,,,,,,,,
Item,"Surrey History Centre, Woking",8368/11,8368/1/1/1/11,Transcript of oral history interview with Kerryann Carey (audio recording -/5),Jun 2008,,,,,,,,,
Item,"Surrey History Centre, Woking",8368/12,8368/1/1/1/12,Transcript of oral history interview with John Carey,Jun 2008,,,,,,,,,
Collection,"Surrey History Centre, Woking",8404,8404,8404ad8,"ORAL HISTORY RECORDINGS RELATING TO AGRICULTURE, OLYMPICS, MENTAL HEALTH, WEY NAVIGATION, AND VILLAGE LIFE IN HINDHEAD AND MICKLEHAM",2007-2016,,There are no access restrictions.,The collection comprises digital oral history recordings made at various times by Surrey Heritage staff and local history groups.,,,,,
Series,"Surrey History Centre, Woking",8404/6/,8404/6,MICKLEHAM AND WESTHUMBLE LOCAL HISTORY GROUP: ROSE'S STORES,2013,,"Mickleham and Westhumble Local History Group ran an oral history project in 2013 to record memories and present day stories about Mickleham village shop 'Rose's Stores' which has been at the heart of the community for many years.  For more information see the Group's newsletter, volume 1, Jan 2014.",,,,,,,
Item,"Surrey History Centre, Woking",8404/6/5/1,8404/6/5/1,Consent forms signed by interviewees relating to use of the oral history recordings,2013,,,,,,,,,
Item,"Surrey History Centre, Woking",8404/8/5/1,8404/8/5/1,Consent forms signed by interviewees relating to use of the oral history recordings,2015-2016,,,,,,,,,
Item,"Surrey History Centre, Woking",8653/1/1,8653/1/1/1/1,"Audio tape cassette recording memories of Bermondsey, 1905-1912.",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/2,8653/1/1/1/2,"Audio tape cassette recording memories of South Norwood, 1912-1918",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/3,8653/1/1/1/3,"Audio tape cassette recording memories of the Isle of Wight, Seaford, Sussex and YWCA in Richmond, 1923-c.1927",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/4,8653/1/1/1/4,"Audio tape cassette recording memories of Kenton, Warlingham, Kenley and Caterham, 1930-1939",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/5,8653/1/1/1/5,"Audio tape cassette recording memories of World War II in Caterham and Godstone, 1939-1940",nd [1980s],,,,,,Open,,,
Item,"Surrey History Centre, Woking",8653/1/6,8653/1/1/1/6,"Audio tape cassette recording memories of World War II in Caterham and Godstone, 1940-1945",nd [1980s],,,,,,Open,,,
Item,"Surrey History Centre, Woking",8653/1/7,8653/1/1/1/7,"Audio tape cassette recording memories of the end of World War II and Caterham, 1945-1946",nd [1980s],,,,,,Open,,,
Item,"Surrey History Centre, Woking",8653/1/8,8653/1/1/1/8,"Audio tape cassette recording memories of Caterham, 1947-1953",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/9,8653/1/1/1/9,"Audio tape cassette recording memories of Caterham and work for Smedley's at Whyteleafe, 1953-1960",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8653/1/10,8653/1/1/1/10,"Audio tape cassette recording memories of Smedley's and retirement in Caterham, 1953-1974",nd [1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",8711/RSP/7,8711/RSP/07,"Cassette. Val Brooks and Margaret Davidson interviews with David Talbott [Star and Garter Home, Richmond]",16 Jan 2003,1 audio cassette,,Open,,,,,,
Item,"Surrey History Centre, Woking",8711/RSP/8,8711/RSP/08,"Cassette. Harry (Joe) Drew interview with David Talbott [Star and Garter Home, Richmond]",16 Jan 2003,1 audio cassette,,Open,,,,,,
Item,"Surrey History Centre, Woking",8817/3/1,8817/3/1,"USB stick containing recordings (MP3 format) of interviews taken for the Reflection oral history project.\r\nContributors include staff, volunteers, services users and Trustees of Richmond Borough Mind.  Topics covered  include how and when people came into contact with Mind, their experience of support groups, discrimination or mental bullying, problems caused by being ill, favourite places in Richmond.  Each interview lasts approximately 30 minutes",2010,,,,Open,01/01/2041,CLO,,,
Item,"Surrey History Centre, Woking",8817/3/2,8817/3/2,"File containing  names, addresses and consent forms of contrubutors to the oral history recordings taken by volunteers for the Reflection project.  Includes transcripts and summaries of some of the recordings in -/3/1 and identifies location of recording on USB stick",2010,,,01/01/2041,CLO,,,,,
Item,"Surrey History Centre, Woking",8817/3/3,8817/3/3,"USB stick containing recording (MP3 format) of the history of mental care in Richmond area, arranged by decade. Also contains typescript summaries of some of the oral history recordings",2010,,,Open,01/01/2041,CLO,,,,
Item,"Surrey History Centre, Woking",8884/9/5,8884/9/5,"Cassette tape of interviews conducted by Mr W Thelwell with Frank Brown and Percy Hole who were employed by Dennis Ltd of Guildford, vehicle manufacturers, during World War I",nd [1990s],,,Open,,,,,,
Collection,"Surrey History Centre, Woking",9045,9045,"SOUTHERN RAILWAY SERVANTS' ORPHANAGE, WOKING: PHOTOGRAPHS AND HISTORY",c.1909-1940,1 bundle,,,"Presented by Mrs N Hughes of Guildford in August 2012.  The Matron of the Orphanage, Miss Maria Core, lodged with the depositor's grandparents, Mr & Mrs Caleb Bond, at Heather Court in Horsell in the 1930s.  The papers were found amongst Mrs Hughes' mother's papers.","See the introduction to Z/330 for a brief history of the Southern Railway Servants' Orphanage.  For printed material relating to London & South Western (Southern) Railway Servants' Orphanage, later Southern Railwaymen's Homes for Children and Old People, later Woking Homes and Woking Grange, 1930s-1990s, and newsletters of the Southern Railway Servants' Orphanage Reunion Association, 2003, see Z/330.\r\nFor articles on the foundation and history of the orphanage see Surrey Advertiser newspaper, 5 Oct 1907 and 11 Oct 1985; for photographs of the Southern Railway Servants' Orphanage, see the Woking photographs by Sidney Francis, Maybury Studio (no.29) and Surrey History Centre's postcard and illustrations collections; for archive film of the orphanage, 1928-c.1952, including daily life and Empire Day Pageant of 1933, see F/21.\r\nFor a film of BBC's Blue Peter visiting the SRSO, 1965-1966, see F/59.  For a VCD of a British Pathé narrated film of the SRSO dated Jun 1960 which features children and staff at the home, see Z/446 (see also http://www.britishpathe.com/). For an accruing newsletter of the Southern Railway Servants' Orphanage Reunion Association, see Z/330/2/-.  \r\nFor audio cassette recording by Winifred Kate Chick (neé Miller, 1904-1998) of her reminiscences of her childhood at the Southern Railway Servants' Orphanage, Woking, from 1912, see 7887/1.\r\nThe Lightbox, Woking, has an oral history tape, ephemera and a banner relating to the Southern Railway and the Servants' Orphanage.",,,,
Item,"Surrey History Centre, Woking",9196/5/1,9196/5/1,"Tweedsmuir project DVD, 'In their Own Words: The Polish Community in Tweedsmuir Camp, Surrey after WWII', produced by the Old Kiln Museum Trust.  Contains oral history interviews with some of the families who lived at Tweedsmuir Camp",2012,1 item,,,,Open,,,,
Item,"Surrey History Centre, Woking",9314/3/1/1-2,9314/3/1,"Copy of recorded interview of R C Sherriff.  Sherriff is interviewed by Richard Haynes, Honorary Secretary of Esher and District Local History Society, and they focus upon his interest in archaeology.\r\n\r\nRecorded on 24 Nov 1972 at 'Rosebriars', Sherriff's house in Esher, Surrey. ",24 Nov 1972,,,,Open,,,,,
Item,"Surrey History Centre, Woking",9314/4/7/1,9314/4/7,Recording of an interview with Lt Col Christopher Manning-Press,4 Feb 2014,1 DVD containing 2 digital recordings,"In the interview Manning-Press recalls his father and Sherriff's joint involvement in amateur dramatics; his father's army service during the First World War; being taken out for trips by Sherriff in his Rolls Royce as a boy; Sherriff's will and his interest in archaeology; being taken to the theatre by Sherriff to see plays including 'The White Carnation'.\r\n\r\nThe interview was conducted on 4 Feb 2014 at Surrey History Centre by Roland Wales [Sherriff's biographer], Janet Nixon [Projects Officer, Surrey Heritage] and Michael Page [County Archivist].",,Open,,,,,
Item,"Surrey History Centre, Woking",9314/7/1,9314/7/1,"Recording of an interview with Olive Pettit, R C Sherriff's secretary",27 Jan 2014,,"Olive Pettit (née Turner) worked as a typist / secretary for Sherriff for about 8 years, from 1946 to 1954 approximately.  She worked for a temping agency, and was called in by Sherriff when he needed her to type his scripts and letters. In the interview Pettit recalls typing scripts including 'The Dam Busters', her memories of Sherriff's siblings and mother, and her perceptions of Sherriff's attitude to women in general.\r\n\r\nThe interview was conducted on 27 Jan 2014 at Surrey History Centre by Roland Wales [Sherriff's biographer] and Janet Nixon [Projects Officer, Surrey Heritage].",,Open,,,,,
Item,"Surrey History Centre, Woking",9314/10/1/1-2,9314/10/1,"Copy of Sherriff's talks for the 'Light Programme' Festival of his plays, and 'Scrapbook for 1929'",1939; 1956,1 DVD containing two recordings; 1 CD containing a copy of one of the recordings on the DVD,"On the 'Light Programme' recording Sherriff  tells the story behind the writing of 'Journey's End', and its later production by the Incorporated Stage Society at the Savoy Theatre in Dec 1929. He ends his talk by advising authors not to sell their plays outright as he nearly did with 'Journey's End' as he wanted to buy a bicycle. This talk was recorded on 17 Sep 1956, and first broadcast on 19 Sep 1956, and the copied recording on the DVD lasts for 14 minutes and 12 seconds. The CD contains a second copy of this recording.\r\n \r\nThe other recording is an extract from 'Scrapbook for 1929', in which Sherriff briefly tells of how he came to write 'Journey's End', and how surprised he was by its success. He mentions that he did not originally conceive it as a war play, and used his old diaries to recall the atmosphere of what is was like to serve on the Western Front. This talk was first broadcast on 2 May 1939, and the copied recording on the DVD lasts for 1 minute and 36 seconds. A copy of the script for this broadcast can be found at 2332/2/5/39.",,Open,,,,,
Item,"Surrey History Centre, Woking",9314/10/2/1,9314/10/3,Copy of Sherriff's talk for 'Reflection and Reminiscence',1948,1 CD,"Sherriff describes his first impressions of the front line at Vimy Ridge during the First World War, referring to his war diary. Recorded on 18 Aug 1948.",,Open,,,,,
Item,"Surrey History Centre, Woking",9361/6/16,9361/6/16,"Flash drive containing the following files relating to Guildford Wives' Fellowship: Photographs, including of events and past and present members, 1982-2013; Correspondence, 2002-2014; Audio interviews with former members, 2011; Scripts of talks, nd; Histories and timelines, nd; Lists of committee members, nd.",1982-2014,,,,Open,,,,,
Item,"Surrey History Centre, Woking",9390/4/2,9390/4/2,"Reminiscences of Pyrford people and places by long-time residents:\r\nunknown resident, Dec 1974.  4pp, typescript;\r\nFreddie (1909-1994) and Bert Doe, 1 May 1991.  11pp typescript, and tape recording of interview with them.  With tribute to Freddie Doe, 1994;\r\nAP Hammick, Dec 1992.  6pp, typescript;\r\nPolice Constable John Constable, nd [?1990s].  13pp, manuscript",1974-1994,,,Open,,,,,,
Collection,"Surrey History Centre, Woking",9514,9514,CRANLEIGH ARTS CENTRE: ORAL HISTORY PROJECT 'THE BEST DAYS OF THEIR LIVES - MEMORIES FROM FORMER PUPILS OF CRANLEIGH JUNIOR SCHOOL' (1930-1966),2015,,The records comprise CD-Rom recordings of the interviews; transcripts of the interviews and the accompanying data protection and oral history consent forms; digital copies of photographs and school ephemera and project papers.,,"Deposited by Gillian Collins, Project Coordinator, in September 2015.  The project was initiated in May 2015 and sought to record, through oral testimony, the first-hand accounts and reminiscences of former pupils of Cranleigh Junior School.\r\n\r\nAlmost 40 former pupils took part in the project providing either one-to-one interviews or informal group discussions of their school experiences. As well as oral testimonies, the participants also provided invaluable archive material such as photographs, programmes of school productions and booklets of school visits to places of interest during the 1950s and 1960s. These archive materials were scanned and formed a legacy artwork which helped to produce a project booklet featuring some of the archive material as well as some oral accounts.\r\n\r\nThe project was supported by Waverley Borough Council as part of their 'Keepsakes Initiative for the Elderly' programme.\r\n",,"For main series of records of Cranleigh Infants and Junior Schools, including governors' minutes, log books and admission registers, 1863-2008, see 8837.",,,Catalogued
Item,"Surrey History Centre, Woking",9514/1/1,9514/1/1,"Folder of papers relating to a reminiscence session recorded at Farriers, Horseshoe Lane, Cranleigh, on 7 Apr 2015. 	\r\n		\r\nThe papers include a transcript of the session which was attended by Sue Mellor who recounts her school experience during the 1950s. Includes CD recording of the interview",Apr 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/2	",9514/1/2,"Folder of papers relating to a reminiscence session recorded at 1 Bax Close, Cranleigh, Cranleigh, on 20 Apr 2015. 	\r\n		\r\nThe papers include a transcript of the session which was attended by Pamela Punter who recounts her school experience during the 1950s. Includes CD recording of the interview",Apr 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/3	",9514/1/3,"Folder of papers relating to a reminiscence group session recorded at The Orchards, Ewhurst Road, Cranleigh, on 21 Apr 2015. \r\n		\r\nThe papers include transcripts of the session which was attended by Phillip Charles Tilbury, Tony Wakeford, Brian Edward Adams, Norman Cobb, Margaret Cobb, Brenda Goodchild, Tom Worsfold, Joyce Debenham and Jean Baker who recount their school experiences during the 1940s -1960s. Includes CD recording of the interview	",Apr 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/4	",9514/1/4,"Folder of papers relating to a reminiscence group session recorded at Cedar Court Nursing Home, Cranleigh, on 29 Apr 2015. \r\n		\r\nThe papers include transcripts of the session which was attended by Peg, Harry and Sue Stephens who recount their school experiences during the years 1930 to 1956. The group was later joined by Roger Coupe, who is a nephew and also attended Cranleigh Junior School. Includes CD recording of the interview	",Apr 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/5	",9514/1/5,"Folder of papers relating to a reminiscence session recorded at Cedar Court Nursing Home, Cranleigh, on 29 Apr 2015. \r\n		\r\nThe papers include a transcript of the session which was attended by Mrs Budgen who recounts her school experience during World War II. Includes CD recording of the interview	",Apr 2015,,,,,Open,,,,
Item,"Surrey History Centre, Woking","9514/1/6	",9514/1/6,"Folder of papers relating to a reminiscence session recorded at Cranleigh Arts Centre on 5 May 2015. 	\r\n		\r\nThe papers include a transcript of the session which was attended by Miriam Crick who recounts her school experience during the 1940s. Includes CD recording of the interview",May 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/7	",9514/1/7,"Folder of papers relating to a reminiscence session recorded at interviewee's home on 6 May 2015. 	\r\n		\r\nThe papers include a transcript of the session which was attended by Sylvia Harms (nee Lee) who recounts her school experience during World War II. Includes CD recording of the interview	",May 2015,,,,,Open,,,,
Item,"Surrey History Centre, Woking","9514/1/8	",9514/1/8,"Folder of papers relating to a reminiscence group session recorded at Cranleigh Arts Centre on 16 May 2015. 	\r\n		\r\nThe papers include transcripts of the session which was attended by Gordon Cheesman and Pamela Cheesman (nee Rallings) who recount their school experience during the mid-1950s. Includes CD recording of the interview	",May 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/9	",9514/1/9,"Folder of papers relating to a reminiscence group session recorded at Cranleigh Arts Centre on 20 May 2015.\r\n		\r\nThe papers include transcripts of the session which was attended by Brian Cheesman, Mary Pain, Angela Workman and Doris Campbell who recount their school experience during the 1940s and 1950s. Includes CD recording of the interview which includes material relating to daily life in Cranleigh not recorded in the transcripts",May 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/10	",9514/1/10,"Folder of papers relating to a reminiscence group session recorded at Cranleigh Arts Centre on 10 Jun 2015. 	\r\n		\r\nThe papers include transcripts of the session which was attended by John Hall, Colin Tilbury, Michael Wells and Maurice Knight who recount their school experience during the years 1943-1960. Includes CD recording of the interview	",Jun 2015,,,,Open,,,,,
Item,"Surrey History Centre, Woking","9514/1/11	",9514/1/11,"Folder of papers relating to a reminiscence group session recorded at Cranleigh Arts Centre on 17 Jun 2015. 	\r\n		\r\nThe papers include transcripts of the session which was attended by Sylvia Gumbrell, Carol Bailey, Wendy Stone, Patricia Worsey and Kathleen Watson who recount their school experience during World War II up to the mid-1950s. Includes CD recording of the interview	",Jun 2015,,,,,Open,,,,
Item,"Surrey History Centre, Woking",9744/3/2,9744/3/2,DVD of local oral history interviews with Shackleford residents ,1998-2017,,,,,,,,,
Collection,"Surrey History Centre, Woking",9762,9762,"MARY WONDRAUSCH (1923-2016), POTTER, PAINTER AND WRITER OF COMPTON: PAPERS",1677-2017,4 crates,"The collection includes papers relating to Mary Wondrausch's potteries at Farncombe and Compton; exhibitions of her work; correspondence, writing and research for her books on slipware and Brickfields, her house at Compton, and articles on pottery, food and textiles; sketch books of designs and drawings, and photographs, 1960-2017.  There are also collected items including deeds of property in Godalming, 1677-1747, and plans of a house at Ockford for Thomas Cooper, 1870.","Presented by Mrs Claudia Nockolds, daughter of Mary Wondrausch, in April 2017.","Mary Wondrausch was born Mary Angela Lambert in Battersea on 17 December 1923, the daughter of Harold Lambert and Margaret (nee Montgomery).  She trained at Kingston School of Art and in the Second World War was in the Women's Army Auxiliary Corps as a cook.  She was originally a painter working principally in collage when she lived in Chelsea and was a member of the Women's International Art Club.  She was married three times, the third time in 1954 to the Polish architect Witold Wondrausch, with whom she had three children.  In 1955 she moved to Brickfields, Compton.  During the 1960s she was an art teacher at Barrow Hills School, Witley.  She studied pottery part-time at Farnham College of Art in 1969.  In 1975 she started Wharf Pottery, initially in Godalming and then at 55 St John's Street, Farncombe, before selling the premises and converting the stables at Brickfields into a pottery in 1984.  She specialised in the production of slipware and commemorative plates.  During the 1980s she travelled in France, Germany and Hungary studying and working with country potters.  In 1986 she published 'Mary Wondrausch on Slipware' (A & C Black).  She was a Member and Fellow of the Craft Potters Association.  Her pottery and paintings were exhibited widely and examples of her work are held in local and national museums and private collections.  She also researched and wrote on food, pottery food containers and kitchen equipment.  She was the author of the article in the 'Oxford Dictionary of National Biography' on Dorothy Rosaman Hartley (1893-1985), social historian, illustrator and author, who was best known as the author of the book 'Food In England' (1954).  Mary Wondrausch was awarded the OBE in 2000 for services to the arts.  She published a book on her life at Brickfields in 2004.  She died on 26 December 2016.",,,"Research notes, drawings and photographs relating to the history of English and European Slipware compiled by Mary Wondrausch, are held as SD 1733 by Stoke on Trent City Archives.\r\n\r\nSound and video recordings of Mary Wondrausch talking about her life and work, made in 1996, are held by Recording the Crafts, formerly NEVAC (The National Electronic and Video Archive of the Crafts), based at the School of Creative Arts at the University of the West of England, Bristol.  For further details see http://www.uwe.ac.uk/sca/cdroms.htm#maryw\r\n\r\nSound recordings of Mary Wondrausch talking about her life and work, as part of the British Library's 'National Life Stories Collection: Crafts' Lives', made in 2007, are held by the British Library as C960/77 and can be heard at http://sounds.bl.uk/Oral-history/Crafts\r\n\r\nMary Wondrausch donated her library of studio pottery books to the Leach Pottery, St Ives, in 2009.  'Mary Wondrausch on Slipware', (A & C Black, London, 1986), republished 2001;\r\n'Brickfields, my life at Brickfields as a potter, painter, gardener, writer and cook', by Mary Wondrausch (self-published, 2004);\r\n'Who's Who' (A & C Black, London, 2016)",,
Item,"Surrey History Centre, Woking",9762/3/14,9762/3/14,"File of articles and publications by or about Mary Wondrausch.  Includes 'Char Pots' in 'Antique Collecting', Sep 1994, p15; 'Off Centre - Mary Wondrausch considers the future of skill', in 'Ceramic Review', Jul/Aug 2000; proposed book covers for 'Mary Wondrausch on Slipware', published by A & C Black; 'Does skill matter any more in current craft practice?' in 'Craftsman Magazine', Dec 2000; 'Potter's living museum', in 'House and Garden', Apr 2002; exhibit for Oxford Symposium on food and cookery in 'The Oxford Times', 21 Sep 2001; 'BBC Good Food', Sep 1998; 'Egg holders'; 'June in the Vendee'; recollection of interview with Hawksmoor Hughes for the British Library oral history series on crafts, 2007; 'Mary Wondrausch - Potter's Day', in 'Ceramic Review', Mar/Apr 2001; 'My life as a craftsman in 2005', for 'Ceramic Art London 2006'; 'Artist Quarter' in 'The World of Interiors', May 1988; page from 'Radio Times' highlighting the BBC4 series 'Ceramics: a Fragile History' in which Mary Wondrausch demonstrated slipware techniques in her studio, 8-14 Oct 2011; 'A slip of a thing' in 'Woman's World'; 'Craft' in 'Ceramics in Society', Spring 2001",1988-2011,,,,,,,,,
Collection,"Surrey History Centre, Woking",9811,9811,"PEOPLE'S CATHEDRAL PROJECT, GUILDFORD CATHEDRAL: ORAL HISTORY INTERVIEWS",2014-2017,1 bundle and 1 DVD,,"Deposited by Ms Helen Ellis, Heritage Lottery Fund Project Manager for the People's Cathedral Project, in August 2017.","The People's Cathedral Project, a Heritage Lottery supported project, ran from 2015 to 2017.  Building repairs were a key part of the project, but it also included  a community engagement programme to capture the history behind Guildford Cathedral.  87 oral history interviews were conducted, in which participants contributed memories of the construction, early years and more recent times of the cathedral, its clergy, lay workers and congregation.",,,,,
Item,"Surrey History Centre, Woking",9811/1,9811/1,"People's Cathedral Project, Guildford Cathedral: DVD audio recording of oral history interviews",Aug 2017,,"There is a separate folder for each interviewee, containing recordings in mp3 file format, and a summary, timed synopsis and transcription in Word file format",,,,,,,
